POINT;DATE;MARKER;LONGITUDE;LATITUDE;NB_SATELLITE;HDOP;COUNT_CO2_100;CO2_100;COUNT_P_atm;P_atm;COUNT_CO2_10;CO2_10;COUNT_T_atm;T_atm ;COUNT_SP;SP ;COUNT_SO2;SO2;COUNT_H2S;H2S ;COUNT_PYR;PYR ;COUNT_V_FLUX;V_FLUX;COUNT_P_in;P_in;COUNT_Rh;Rh;COUNT_T_in;T_in;COUNT_V_BAT;V_BAT;PUMP_FLUX;Thermocouple
;;;;;;;5268;0;7266;0;5240;0;492;-273.15;65535; nan ;65535; nan ;500;1;1000;2;65535; nan ;65535; nan ;65535; nan ;65535; nan ;1934;9;;
;;;;;;;26168;10;23651;1100;26256;100;65535;226.85;65535; nan ;65535; nan ;26000;5;30000;5;65535; nan ;65535; nan ;65535; nan ;65535; nan ;3284;15;;
;;;;;;;  ;0;  ;0;  ;0;  ;0;  ; nan ;  ; nan ;  ;0;  ;5;  ; nan ;  ; nan ;  ; nan ;  ; nan ;  ;0;;
P8;10/09/2018 07:23;0;38.793385;15.215723;7;121;7002;8.338;17411;923.701;21697;8.253;39180;16.662;32045;-41.3;416;-56.571;417;-18.512;417;1.43;3340;1726;1851;1636;3009;2.685;939.109;68.865;27.8;12.793;0.938;-99.9
P9;10/09/2018 07:23;0;38.793385;15.215723;7;124;7000;8.329;17411;923.701;21662;8.236;39180;16.662;32055;-40.9;416;-56.571;417;-18.512;418;1.43;3479;1755;1848;1636;3008;2.796;947.039;68.716;27.8;12.789;1.043;-99.9
P10;10/09/2018 07:23;0;38.793377;15.21572;7;124;7022;8.435;17396;923.331;21724;8.266;39181;16.662;32071;-40.2;416;-56.571;417;-18.512;417;1.43;3357;1663;1848;1636;3009;2.698;921.883;68.716;27.8;12.793;0.951;-99.9
P11;10/09/2018 07:24;0;38.793377;15.21572;7;123;7029;8.468;17407;923.602;21802;8.305;39182;16.663;32053;-41;417;-56.56;417;-18.512;418;1.43;3326;1694;1848;1636;3008;2.673;930.359;68.716;27.8;12.789;0.927;-99.9
P12;10/09/2018 07:24;0;38.793377;15.21572;7;123;7021;8.43;17410;923.676;21808;8.308;39181;16.662;32073;-40.1;417;-56.56;418;-18.507;418;1.43;3352;1742;1844;1638;3008;2.694;943.484;68.518;27.9;12.789;0.947;-99.9
P13;10/09/2018 07:24;0;38.793377;15.21572;7;123;7011;8.382;17413;923.75;21706;8.257;39180;16.662;32074;-40.1;417;-56.56;418;-18.507;418;1.43;3330;1722;1844;1637;3009;2.677;938.016;68.518;27.85;12.793;0.93;-99.9
P14;10/09/2018 07:24;0;38.793377;15.21572;7;123;7024;8.444;17414;923.775;21705;8.257;39180;16.662;32066;-40.4;417;-56.56;418;-18.507;419;1.43;3334;1700;1840;1638;3010;2.68;932;68.32;27.9;12.797;0.933;-99.9
