;DATE;POINT;MARKER;LONGITUDE;LATITUDE;NB_SATELLITE;HDOP;COUNT_CO2_100;CO2_100;COUNT_P_atm;P_atm;COUNT_CO2_10;CO2_10;COUNT_T_atm;T_atm ;COUNT_SP;SP ;COUNT_SO2;SO2;COUNT_H2S;H2S ;COUNT_PYR;PYR ;COUNT_V_FLUX;V_FLUX;COUNT_P_in;P_in;COUNT_Rh;Rh;COUNT_T_in;T_in;COUNT_V_BAT;V_BAT;PUMP_FLUX;Thermocouple;K_Coeff;Slope;R-squared;CO2_FLUX;Nb_POINT;Sl_POINT_min;Sl_POINT_MIN;Delta_CO2_FLUX;CO2_POINT_1;CO2_POINT_2;CO2_POINT_3;CO2_POINT_4;CO2_POINT_5;CO2_POINT_6;CO2_POINT_7;CO2_POINT_8;CO2_POINT_9;CO2_POINT_10;CO2_POINT_11;CO2_POINT_12;CO2_POINT_13;CO2_POINT_14;CO2_POINT_15;CO2_POINT_16;CO2_POINT_17;CO2_POINT_18;CO2_POINT_19;CO2_POINT_20;CO2_POINT_21;CO2_POINT_22;CO2_POINT_23;CO2_POINT_24;CO2_POINT_25;CO2_POINT_26;CO2_POINT_27;CO2_POINT_28;CO2_POINT_29;CO2_POINT_30;CO2_POINT_31;CO2_POINT_32;CO2_POINT_33;CO2_POINT_34;CO2_POINT_35;CO2_POINT_36;CO2_POINT_37;CO2_POINT_38;CO2_POINT_39;CO2_POINT_40;CO2_POINT_41;CO2_POINT_42;CO2_POINT_43;CO2_POINT_44;CO2_POINT_45;CO2_POINT_46;CO2_POINT_47;CO2_POINT_48;CO2_POINT_49;CO2_POINT_50;CO2_POINT_51;CO2_POINT_52;CO2_POINT_53;CO2_POINT_54;CO2_POINT_55;CO2_POINT_56;CO2_POINT_57;CO2_POINT_58;CO2_POINT_59;CO2_POINT_60;CO2_POINT_61;CO2_POINT_62;CO2_POINT_63;CO2_POINT_64;CO2_POINT_65;CO2_POINT_66;CO2_POINT_67;CO2_POINT_68;CO2_POINT_69;CO2_POINT_70;CO2_POINT_71;CO2_POINT_72;CO2_POINT_73;CO2_POINT_74;CO2_POINT_75;CO2_POINT_76;CO2_POINT_77;CO2_POINT_78;CO2_POINT_79;CO2_POINT_80;CO2_POINT_81;CO2_POINT_82;CO2_POINT_83;CO2_POINT_84;CO2_POINT_85;CO2_POINT_86;CO2_POINT_87;CO2_POINT_88;CO2_POINT_89;CO2_POINT_90;CO2_POINT_91;CO2_POINT_92;CO2_POINT_93;CO2_POINT_94;CO2_POINT_95;CO2_POINT_96;CO2_POINT_97;CO2_POINT_98;CO2_POINT_99;CO2_POINT_100;CO2_POINT_101;CO2_POINT_102;CO2_POINT_103;CO2_POINT_104;CO2_POINT_105;CO2_POINT_106;CO2_POINT_107;CO2_POINT_108;CO2_POINT_109;CO2_POINT_110;CO2_POINT_111;CO2_POINT_112;CO2_POINT_113;CO2_POINT_114;CO2_POINT_115;CO2_POINT_116;CO2_POINT_117;CO2_POINT_118;CO2_POINT_119;CO2_POINT_120;CO2_POINT_121;CO2_POINT_122;CO2_POINT_123;CO2_POINT_124;CO2_POINT_125;CO2_POINT_126;CO2_POINT_127;CO2_POINT_128;CO2_POINT_129;CO2_POINT_130;CO2_POINT_131;CO2_POINT_132;CO2_POINT_133;CO2_POINT_134;CO2_POINT_135;CO2_POINT_136;CO2_POINT_137;CO2_POINT_138;CO2_POINT_139;CO2_POINT_140;CO2_POINT_141;CO2_POINT_142;CO2_POINT_143;CO2_POINT_144;CO2_POINT_145;CO2_POINT_146;CO2_POINT_147;CO2_POINT_148;CO2_POINT_149;CO2_POINT_150;CO2_POINT_151;CO2_POINT_152;CO2_POINT_153;CO2_POINT_154;CO2_POINT_155;CO2_POINT_156;CO2_POINT_157;CO2_POINT_158;CO2_POINT_159;CO2_POINT_160;CO2_POINT_161;CO2_POINT_162;CO2_POINT_163;CO2_POINT_164;CO2_POINT_165;CO2_POINT_166;CO2_POINT_167;CO2_POINT_168;CO2_POINT_169;CO2_POINT_170;CO2_POINT_171;CO2_POINT_172;CO2_POINT_173;CO2_POINT_174;CO2_POINT_175;CO2_POINT_176;CO2_POINT_177;CO2_POINT_178;CO2_POINT_179;CO2_POINT_180;CO2_POINT_181;CO2_POINT_182;CO2_POINT_183;CO2_POINT_184;CO2_POINT_185;CO2_POINT_186;CO2_POINT_187;CO2_POINT_188;CO2_POINT_189;CO2_POINT_190;CO2_POINT_191;CO2_POINT_192;CO2_POINT_193;CO2_POINT_194;CO2_POINT_195;CO2_POINT_196;CO2_POINT_197;CO2_POINT_198;CO2_POINT_199;CO2_POINT_200;CO2_POINT_201;CO2_POINT_202;CO2_POINT_203;CO2_POINT_204;CO2_POINT_205;CO2_POINT_206;CO2_POINT_207;CO2_POINT_208;CO2_POINT_209;CO2_POINT_210;CO2_POINT_211;CO2_POINT_212;CO2_POINT_213;CO2_POINT_214;CO2_POINT_215;CO2_POINT_216;CO2_POINT_217;CO2_POINT_218;CO2_POINT_219;CO2_POINT_220;CO2_POINT_221;CO2_POINT_222;CO2_POINT_223;CO2_POINT_224;CO2_POINT_225;CO2_POINT_226;CO2_POINT_227;CO2_POINT_228;CO2_POINT_229;CO2_POINT_230;CO2_POINT_231;CO2_POINT_232;CO2_POINT_233;CO2_POINT_234;CO2_POINT_235;CO2_POINT_236;CO2_POINT_237;CO2_POINT_238;CO2_POINT_239;CO2_POINT_240;CO2_POINT_241;CO2_POINT_242;CO2_POINT_243;CO2_POINT_244;CO2_POINT_245;CO2_POINT_246;CO2_POINT_247;CO2_POINT_248;CO2_POINT_249;CO2_POINT_250;CO2_POINT_251;CO2_POINT_252;CO2_POINT_253;CO2_POINT_254;CO2_POINT_255;CO2_POINT_256;CO2_POINT_257;CO2_POINT_258;CO2_POINT_259;CO2_POINT_260;CO2_POINT_261;CO2_POINT_262;CO2_POINT_263;CO2_POINT_264;CO2_POINT_265;CO2_POINT_266;CO2_POINT_267;CO2_POINT_268;CO2_POINT_269;CO2_POINT_270;CO2_POINT_271;CO2_POINT_272;CO2_POINT_273;CO2_POINT_274;CO2_POINT_275;CO2_POINT_276;CO2_POINT_277;CO2_POINT_278;CO2_POINT_279;CO2_POINT_280;CO2_POINT_281;CO2_POINT_282;CO2_POINT_283;CO2_POINT_284;CO2_POINT_285;CO2_POINT_286;CO2_POINT_287;CO2_POINT_288;CO2_POINT_289;CO2_POINT_290;CO2_POINT_291;CO2_POINT_292;CO2_POINT_293;CO2_POINT_294;CO2_POINT_295;CO2_POINT_296;CO2_POINT_297;CO2_POINT_298;CO2_POINT_299;CO2_POINT_300;TIMELAG
0;08/09/2018 07:58:00;P1;0;38.796021;15.223494;7;151;5274;0.015;18935;9798432.159;5290;0.071;39207;16.675;30249;-120.2;424;-56.476;425;-18.476;425;1.43;3711;1935;2059;1603;3001;2.981;996.258;79.16;26.15;12.76;1.22;24.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1;08/09/2018 08:09:00;P124;0;38.796093;15.223351;7;120;5275;0.019;18940;9801019.545;5279;0.065;39388;16.764;29650;-146.5;438;-56.31;439;-18.412;439;1.429;3726.5;1939.5;1867.5;1685;3007;2.9935;997.488;69.6815;30.25;12.785;1.2315;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2;08/09/2018 08:17:00;P284;0;38.796215;15.223126;7;123;5278;0.034;18942;9802054.5;5293;0.072;39356;16.748;29562;-150.4;448;-56.19;449;-18.367;449;1.429;3751;1983;1599;1757;3010;3.013;1009.383;56.39;33.85;12.797;1.25;25.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
3;08/09/2018 08:25:00;P528;0;38.796329;15.222952;7;126;5276;0.024;18925;9793257.386;5291;0.071;39317;16.729;29454;-155.1;455;-56.107;456;-18.335;456;1.429;3742;1964;1543;1808;3012;3.006;1004.188;53.618;36.4;12.805;1.243;25.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
4;08/09/2018 08:31:00;P641;0;38.796474;15.222812;7;129;5279;0.039;18916;9788600.091;5291.5;0.0715;39277;16.709;29664.5;-145.9;459;-56.06;459;-18.322;460;1.429;3756.5;1992.5;1363;1846;3012.5;3.0175;1011.9805;44.708;38.3;12.807;1.2545;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5;08/09/2018 08:38:00;P777;0;38.796597;15.222655;8;131;5284;0.063;18933;9797397.205;5297;0.074;39312;16.726;29701;-144.3;464;-56;464;-18.299;464;1.428;3755;2000;1362;1891;3004;3.016;1014.031;44.659;40.55;12.772;1.253;25.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
6;08/09/2018 08:51:00;P1048;0;38.796741;15.222522;8;137;5279;0.039;18936;9798949.636;5295;0.073;39338;16.739;30051;-128.9;472;-55.905;473;-18.258;473;1.428;3751;1993;1305;1934;3020;3.013;1012.117;41.838;42.7;12.837;1.25;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
7;08/09/2018 09:07:00;P1187;0;38.796898;15.222425;8;138;5333;0.299;18955;9808781.705;5540;0.195;39416;16.777;32771.5;-9.4;473;-55.893;474;-18.254;474;1.428;3754.5;2001;1219.5;1974;3021;3.0155;1014.305;37.6055;44.7;12.841;1.253;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
8;08/09/2018 09:19:00;P1301;0;38.797039;15.2223;7;147;5286;0.072;18965;9813956.477;5322;0.087;39812;16.972;29748;-142.2;474;-55.881;474;-18.254;475;1.428;3748;1999;1090;1983;3020;3.01;1013.758;31.195;45.15;12.837;1.248;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
9;08/09/2018 09:26:00;P1434;0;38.797184;15.222194;8;108;5502;1.113;18980;9821718.636;7034;0.94;39816;16.973;34749;77.4;471;-55.917;472;-18.263;472;1.428;3752;1993;1219;1976;3018;3.014;1012.117;37.581;44.8;12.829;1.251;-99.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
