DATE;POINT;MARKER;LONGITUDE;LATITUDE;HDOP;COUNT_CO2_100;CO2_100;COUNT_P_atm;P_atm;COUNT_CO2_10;CO2_10;COUNT_T_atm;T_atm ;COUNT_SP;SP ;COUNT_SO2;SO2;COUNT_H2S;H2S ;COUNT_PYR;PYR ;COUNT_V_FLUX;V_FLUX;COUNT_P_in;P_in;COUNT_Rh;Rh;COUNT_T_in;T_in;COUNT_V_BAT;V_BAT;PUMP_FLUX;Thermocouple;MISSING;TIMELAG
10/09/2018 07:23:31;P8;0;38.793385;15.215723;121;7002;1563.805661;17411;923.701;21697;1547.244779;39180;16.662;32045;-41.3;416;-56.571;417;-18.512;417;1.43;3340;;1851;1636;3009;2.685;939.109;68.865;27.8;12.793;0.938;-99.9;0;10
10/09/2018 07:23:41;P9;0;38.793385;15.215723;124;7000;1562.05125;17411;923.701;21662;1543.934893;39180;16.662;32055;-40.9;416;-56.571;417;-18.512;418;1.43;3479;;1848;1636;3008;2.796;947.039;68.716;27.8;12.789;1.043;-99.9;0;10
10/09/2018 07:23:51;P10;0;38.793377;15.21572;124;7022;1582.728047;17396;923.331;21724;1549.776383;39181;16.662;32071;-40.2;416;-56.571;417;-18.512;417;1.43;3357;;1848;1636;3009;2.698;921.883;68.716;27.8;12.793;0.951;-99.9;0;10
10/09/2018 07:24:01;P11;0;38.793377;15.21572;123;7029;1589.171319;17407;923.602;21802;1557.37387;39182;16.663;32053;-41;417;-56.56;417;-18.512;418;1.43;3326;;1848;1636;3008;2.673;930.359;68.716;27.8;12.789;0.927;-99.9;0;10
10/09/2018 07:24:11;P12;0;38.793377;15.21572;123;7021;1581.75205;17410;923.676;21808;1557.958459;39181;16.662;32073;-40.1;417;-56.56;418;-18.507;418;1.43;3352;;1844;1638;3008;2.694;943.484;68.518;27.9;12.789;0.947;-99.9;0;10
10/09/2018 07:24:21;P13;0;38.793377;15.21572;123;7011;1572.385892;17413;923.75;21706;1548.023687;39180;16.662;32074;-40.1;417;-56.56;418;-18.507;418;1.43;3330;;1844;1637;3009;2.677;938.016;68.518;27.85;12.793;0.93;-99.9;0;10
10/09/2018 07:24:31;P14;0;38.793377;15.21572;123;7024;1584.485012;17414;923.775;21705;1548.023687;39180;16.662;32066;-40.4;417;-56.56;418;-18.507;419;1.43;3334;;1840;1638;3010;2.68;932;68.32;27.9;12.797;0.933;-99.9;0;10
10/09/2018 07:24:41;P15;0;38.793377;15.21572;123;7034;1593.859182;17416;923.825;21746;1551.918857;39179;16.661;32059;-40.7;418;-56.548;418;-18.507;419;1.43;3487;;1841;1637;3008;2.802;928.445;68.369;27.85;12.789;1.049;-99.9;0;10
10/09/2018 07:24:51;P16;0;38.793373;15.215716;123;7021;1581.75205;17421;923.948;21870;1564.000609;39179;16.661;32054;-40.9;418;-56.548;418;-18.507;419;1.43;3507;;1835;1637;2992;2.818;942.664;68.073;27.85;12.724;1.065;-99.9;0;10
10/09/2018 07:25:01;P17;0;38.793373;15.215716;123;7025;1585.461198;17415;923.8;21864;1563.415773;39178;16.661;32030;-42;418;-56.548;419;-18.503;419;1.43;3424;;1830;1637;2992;2.752;933.094;67.825;27.85;12.724;1.002;-99.9;0;10
